0263	Heading 2	3.1 — O que é ‘baronato’ em São Paulo (sem romantizar)
0271	Heading 2	3.2 — Por que o Príncipe tolera baronatos (e quando deixa de tolerar)
0280	Heading 2	3.3 — Como baronatos se sustentam (dinheiro, favores e disciplina)
0288	Heading 2	3.4 — Máscara na periferia: o que é plausível (e o que é paranoia)
0296	Heading 2	3.5 — Os baronatos anarquistas (quem manda, por que manda, e o que está quebrando)
0304	Heading 3	3.5.1 — Mooca/Tatuapé: a Baronia da Ferrugem (Renata Ferraz)
0307	Heading 4	Quem é quem (núcleo da Baronia)
0317	Heading 4	Cultura interna
0320	Heading 4	Tensões e boatos
0328	Heading 4	Como entra em mesa
0333	Heading 3	3.5.2 — Itaquera/Extremo Leste: o Leste de Aço (Diego ‘Itaquera’)
0336	Heading 4	Quem segura o Leste
0343	Heading 4	História e tensão
0347	Heading 4	Como entra em mesa
0352	Heading 3	3.5.3 — Capão/Grajaú e bordas verdes: a Matilha do Sul (Bia)
0358	Heading 4	Quem é quem (Matilha do Sul e aliados)
0368	Heading 4	Tensões e boatos
0377	Heading 4	Como entra em mesa
0382	Heading 2	3.6 — Relação com a Camarilla: guerra fria, favores e punição
0390	Heading 2	3.7 — Escala de resposta (D–S) para o Narrador
0398	Heading 2	3.8 — Pactos, rivalidades e linhas vermelhas
0413	Heading 2	3.9 — Em cena: seis entradas para baronatos
0423	Heading 1	Capítulo 4 — Independentes e Serviços: quem resolve o que ninguém quer assinar
0428	Heading 2	4.1 — O que significa ser Independente em São Paulo
0435	Heading 2	4.2 — Dívida, contrato e reputação: como se compra o impossível
0442	Heading 2	4.3 — Despachantes da Noite: resolvedores sem bandeira (Barra Funda, Lapa e adjacências)
0444	Heading 4	Principais nomes (e o que cada um traz para a mesa)
0449	Heading 4	Boatos
0453	Heading 4	Como entra em mesa
0457	Heading 2	4.4 — Deslocamentos e desaparecimentos: mensageiros, batedores e gente que some
0459	Heading 4	Núcleo e fraturas internas
0464	Heading 4	Regras não escritas
0468	Heading 4	Como entra em mesa
0472	Heading 2	4.5 — Vozes que pesam: juiz, oráculo e o culto que promete alívio
0474	Heading 4	Quem puxa os fios
0478	Heading 4	O que eles vendem
0482	Heading 4	Como entra em mesa
0486	Heading 2	4.6 — Enclave dos Cemitérios (Hecata): morte, memória e o preço do silêncio
0491	Heading 4	Núcleo do Enclave
0496	Heading 4	O que o Enclave entrega (sem mito)
0503	Heading 4	O preço típico (sem romance)
0507	Heading 4	Como entra em mesa
0511	Heading 2	4.7 — Leitura rápida: o que um Independente cobra (e o que isso cria)
0517	Heading 2	4.8 — Em cena: seis contratos que parecem pequenos (e não são)
0524	Heading 1	Capítulo 5 — Geografia da Noite: domínios, distritos e zonas de atrito
0531	Heading 2	5.1 — Como ler o mapa
0537	Heading 2	5.2 — Zonas de atrito (clima e regra local)
0539	Heading 3	Centro Expandido — a Camarilla sob holofotes
0546	Heading 3	Leste e periferias — Baronatos e política de rua
0553	Heading 3	Centro Velho — Independentes e a memória que não cala
0560	Heading 3	Intermediários — quando ninguém quer assinar
0567	Heading 3	Bordas Verdes — onde a cidade perde o controle
0574	Heading 3	Incursões do Sabbat — ataques curtos, violência ritual
0581	Heading 3	Pressão da Segunda Inquisição — a Lumen e a caça por correlação
0588	Heading 2	5.3 — Domínios (caça, influência e rotinas)
0590	Heading 3	Paulista/Jardins
0597	Heading 4	Elysium principal (satélite do Centro Expandido)
0604	Heading 3	Itaim/Berrini
0611	Heading 3	Pinheiros/Vila Madalena
0618	Heading 3	Moema/Vila Mariana
0625	Heading 3	Morumbi/Campo Belo
0632	Heading 3	Perdizes/Barra Funda
0639	Heading 3	Bela Vista/Bixiga
0646	Heading 3	Bras/Pari
0653	Heading 3	Butantã/USP
0660	Heading 3	Consolação/Higienópolis
0667	Heading 3	Ipiranga/Cursino
0674	Heading 3	Santana/Tucuruvi
0681	Heading 3	Centro Velho (Sé/República)
0688	Heading 3	Cemitérios (Centro/Oeste)
0695	Heading 3	Tatuapé/Mooca
0702	Heading 3	Barra Funda/Lapa (pátios e sumiços)
0709	Heading 3	Liberdade
0716	Heading 3	Bordas Verdes (Sul/Oeste)
0723	Heading 3	Entorno e rodovias (terra de ninguém)
0730	Heading 1	Capítulo 6 — Coteries: a unidade de ação em São Paulo
0731	Heading 2	6.1 — O que é uma coterie em São Paulo (e por que isso importa)
0736	Heading 2	6.2 — O contrato invisível: cinco coisas que mantêm uma coterie viva
0743	Heading 2	6.3 — Por que coteries são a moeda de confiança da cidade
0747	Heading 2	6.4 — As coteries que definem a rua
0748	Heading 3	6.4.1 — Coterie Ferrugem (Mooca/Tatuapé)
0750	Heading 4	Quem é quem (núcleo)
0759	Heading 4	Razão de existir
0761	Heading 4	Dramas internos
0763	Heading 4	Boatos e disputas
0767	Heading 4	Como entra em mesa
0771	Heading 3	6.4.2 — Leste de Aço (Itaquera/Extremo Leste)
0773	Heading 4	Quem é quem (núcleo)
0780	Heading 4	Razão de existir
0782	Heading 4	Dramas internos
0784	Heading 4	Boatos e disputas
0788	Heading 4	Como entra em mesa
0792	Heading 3	6.4.3 — Matilha do Sul (Capão/Grajaú e bordas verdes)
0794	Heading 4	Quem é quem (Matilha e aliados)
0803	Heading 4	Razão de existir
0805	Heading 4	Dramas internos
0807	Heading 4	Boatos e disputas
0811	Heading 4	Como entra em mesa
0815	Heading 2	6.5 — Em mesa: como criar uma coterie de jogadores que pertence a São Paulo
0822	Heading 1	Capítulo 7 — Antagonistas: quando a cidade responde
0828	Heading 2	7.1 — A regra do padrão (o que a cidade pune de verdade)
0836	Heading 2	7.2 — Segunda Inquisição em São Paulo
0839	Heading 3	Como ela entra
0842	Heading 3	Métodos típicos (o horror é a normalidade)
0848	Heading 3	A delegada Helena Pacheco (o rosto humano do Lumen — ou a máscara dele)
0856	Heading 3	Fraquezas exploráveis (sem infantilizar a Segunda Inquisição)
0860	Heading 3	Ganchos de crônica
0864	Heading 3	Fichas rápidas — Segunda Inquisição (SPCs)
0866	Heading 4	Analista de Triagem (Lumen)
0868	Heading 4	Equipe de Campo (Lumen) - 3 a 5 agentes
0870	Heading 4	Consultor de Perícia/Incêndio (Lumen)
0872	Heading 2	7.3 — Caçadores: o mortal que não aceita coincidência
0874	Heading 3	Três tipos comuns
0879	Heading 3	Como caçadores sobem de nível
0884	Heading 3	Fichas rápidas — Caçadores (SPCs)
0886	Heading 4	Vigilante de Abrigo (célula de rua)
0888	Heading 4	Investigador Metódico (jornalista/perito/advogado)
0890	Heading 4	Terceirizado Armado (segurança/milícia/‘consultoria’)
0892	Heading 2	7.4 — Lobisomens: a fronteira que não assina acordo
0894	Heading 3	Onde eles pesam
0898	Heading 3	O que dispara resposta
0902	Heading 3	O papel do Sul e o nome que aparece nos boatos
0911	Heading 3	Uso em crônica (a regra de ouro)
0916	Heading 3	Ficha rápida — Lupino (ameaça)
0918	Heading 4	Lupino (ameaça de fronteira)
0920	Heading 2	7.5 — Sabbat: febre itinerante
0923	Heading 3	Sinais
0929	Heading 3	Uso em crônica
0935	Heading 3	Fichas rápidas — Sabbat (SPCs)
0937	Heading 4	Batedor (Sabbat)
0939	Heading 4	Fanático (Sabbat)
0941	Heading 4	Ductus (Sabbat)
0943	Heading 2	7.6 — Fantasmas, ecos e a porta entreaberta
0947	Heading 3	Manifestações
0953	Heading 3	Usos em mesa
0958	Heading 3	Ficha rápida — Foco espectral
0960	Heading 4	Foco espectral (porta/eco concentrado)
0962	Heading 2	7.7 — Cultos: fé, vício e comunidade que denuncia
0964	Heading 3	Tipos comuns
0969	Heading 3	Ganchos
0973	Heading 2	Checklist de uso (para o narrador)
0979	Heading 1	Capítulo 8 — Elenco de São Paulo: índice vivo e fichas essenciais
0981	Heading 2	8.1 — Sobre o nível de poder
0983	Heading 2	8.2 — Índice completo por facção e clã
0985	Heading 3	Camarilla
0986	Heading 4	Banu Haqim
0990	Heading 4	Caitiff
0993	Heading 4	Gangrel
0995	Heading 4	Lasombra
1001	Heading 4	Malkavian
1007	Heading 4	Nosferatu
1016	Heading 4	Toreador
1026	Heading 4	Tremere
1033	Heading 4	Ventrue
1044	Heading 3	Anarquistas
1045	Heading 4	Baronia da Ferrugem (Mooca/Tatuapé)
1050	Heading 4	Leste de Aço (Itaquera/Extremo Leste)
1053	Heading 4	Matilha do Sul (Capão/Grajaú e bordas verdes)
1059	Heading 4	Rede interbaronatos (centro, trânsito e zonas mistas)
1066	Heading 3	Autárquicos
1067	Heading 4	Hecata
1072	Heading 4	Malkavian
1074	Heading 4	Salubri
1076	Heading 4	Tzimisce
1079	Heading 3	Independentes
1080	Heading 4	Banu Haqim
1082	Heading 4	Brujah
1084	Heading 4	Gangrel
1086	Heading 4	Ministry
1088	Heading 4	Ravnos
1090	Heading 4	Thin Blood
1092	Heading 3	Segunda Inquisição
1093	Heading 4	Mortal
1095	Heading 3	Mortal
1096	Heading 4	Mortal
1100	Heading 2	8.3 — Ghouls
1102	Heading 3	Camarilla
1126	Heading 3	Anarquistas
1127	Heading 4	Baronia da Ferrugem (Mooca/Tatuapé)
1133	Heading 4	Leste de Aço (Itaquera/Extremo Leste)
1137	Heading 4	Matilha do Sul (Capão/Grajaú e bordas verdes)
1141	Heading 3	Autárquicos
1145	Heading 3	Independentes
1149	Heading 2	8.4 — As 30 fichas essenciais
1152	Heading 3	Artur Macedo
1177	Heading 3	Dario Kron
1202	Heading 3	Donato Lazzari
1227	Heading 3	Luiza Salles
1253	Heading 3	Nico "Sombra"
1278	Heading 3	Padre Miguel Aranha
1303	Heading 3	Renata Ferraz
1328	Heading 3	Samira al-Haddad
1353	Heading 3	Bia "Matilha"
1378	Heading 3	Camila "Noite-Funda"
1403	Heading 3	Clara Montenegro
1428	Heading 3	Diego "Itaquera" Nascimento
1453	Heading 3	Helena Vasconcelos
1478	Heading 3	Henrique Valadares
1503	Heading 3	Irene da Luz
1528	Heading 3	Isabel do Amaral
1553	Heading 3	João do Trem
1578	Heading 3	Marcia Falcao
1603	Heading 3	Nadia Nasser
1628	Heading 3	Nina "Costura"
1653	Heading 3	Paulo "O Vidente"
1678	Heading 3	Rafa "Ferro"
1703	Heading 3	Raimundo "Rato-Rei"
1728	Heading 3	Soraia Nunes
1753	Heading 3	Talita "Serpente"
1778	Heading 3	Vovo Zilda
1803	Heading 3	Yusuf Rahman
1828	Heading 3	Delegada Helena Pacheco
1853	Heading 3	Mariana Lobo
1878	Heading 3	Ana "Carbono"
